latitud,longitud,direccion,barrio,comuna,capacidad,estado
-34.598689799999995,-58.4235576,GASCON 1036,Almagro,5,2450,Renovado 2015
-34.6299368,-58.4698726,NAZCA AV. 55,Flores,7,778,Renovado 2015
-34.6010959999999,-58.3981149,VIAMONTE 2168,Balvanera,3,425,Renovado 2015
-34.6311474999999,-58.4716613,RIVADAVIA AV. 7523,Flores,7,216,Renovado 2015
-34.6059385,-58.3640370999999,"COSSETTINI, OLGA 751",Puerto Madero,1,622,Renovado 2016
-34.6019519,-58.3717424,LAVALLE 343,San Nicolas,1,880,Renovado 2016
-34.6309589,-58.4701644,RIVADAVIA AV. 7428,Flores,7,1260,Renovado 2015
-34.5860447,-58.4401674,"VEGA, NICETO, CNEL. AV. 5699",Palermo,14,333,Renovado 2015
-34.6141925,-58.3746737999999,PERU 535,Monserrat,1,1950,Renovado 2015
-34.5860135,-58.435425,"JUSTO, JUAN B. AV. 1574",Palermo,14,961,Renovado 2015
-34.5884755,-58.4300173,"BORGES, JORGE LUIS 1640",Palermo,14,264,Renovado 2015
-34.5700422999999,-58.39899799999989,"OBLIGADO RAFAEL, AV.COSTANERA Y SALGUERO, JERONIMO",Palermo,14,1764,Renovado 2015
-34.6050272,-58.39374339999989,RIOBAMBA 345,Balvanera,3,428,Renovado 2016
-34.6095092999999,-58.3797672999999,"YRIGOYEN, HIPOLITO 947",Monserrat,1,400,Renovado 2015
-34.5860320999999,-58.5019399,MOSCONI GENERAL AV. 2885,Villa Pueyrredon,12,1434,Renovado 2015
-34.5890761,-58.3945882,"URIBURU JOSE E., PRES. 1721",Recoleta,2,588,Renovado 2015
-34.6191389,-58.37586759999989,CHACABUCO 947,San Telmo,1,1702,Renovado 2015
-34.5865129999999,-58.4162868,ARAOZ 2422,Palermo,14,1030,Renovado 2016
-34.610695799999995,-58.37967270000001,"ALSINA, ADOLFO 940",Monserrat,1,1900,Renovado 2015
-34.5896224,-58.38844209999989,"QUINTANA, MANUEL, PRES. 362",Recoleta,2,220,Renovado 2016
-34.59611,-58.39197239999999,RODRIGUEZ PEÑA 1082,Recoleta,2,335,Renovado 2015
-34.5715334,-58.4228098,DEL LIBERTADOR AV. 3883,Palermo,14,2258,Renovado 2015
-34.5523537999999,-58.4652551,CABILDO AV. 3241,Nu�ez,13,900,Renovado 2016
-34.5417454999999,-58.4734558999999,CABILDO AV. 4665,Nu�ez,13,1297,Renovado 2015
-34.6229634999999,-58.3633067999999,"MOREAU DE JUSTO, ALICIA AV. 2092",Puerto Madero,1,679,Renovado 2015
-34.6323002999999,-58.47612039999989,RIVADAVIA AV. 7927,Floresta,10,743,Renovado 2015
-34.6040222,-58.41493929999999,CORRIENTES AV. 3530,Almagro,5,662,Renovado 2015
-34.5861227999999,-58.43614639999989,"JUSTO, JUAN B. AV. 1625",Palermo,14,572,Renovado 2015
-34.6307608999999,-58.4702375999999,RIVADAVIA AV. 7425,Flores,7,452,Renovado 2015
-34.6107239999999,-58.4153475,RIVADAVIA AV. 3469,Almagro,5,1270,Renovado 2016
-34.614905799999995,-58.37070779999989,BALCARCE 605,Monserrat,1,425,Renovado 2016
-34.5889055,-58.39609279999989,AZCUENAGA 1775,Recoleta,2,254,Renovado 2015
-34.5970061,-58.40954359999989,"CABRERA, JOSE A. 3046",Recoleta,2,489,Renovado 2015
-34.5960038999999,-58.3785022,ESMERALDA 1040,Retiro,1,408,Renovado 2015
-34.5583567999999,-58.43512929999999,"TORNQUIST, ERNESTO AV. 6385",Palermo,14,950,Renovado 2015
-34.5988371999999,-58.37604329999989,CORDOBA AV. 634,San Nicolas,1,100,Renovado 2015
-34.5976276999999,-58.3729449,RECONQUISTA 878,Retiro,1,208,Renovado 2015
-34.5796532999999,-58.42323869999989,SANTA FE AV. 4389,Palermo,14,1685,Renovado 2015
-34.5866746,-58.43615069999989,"JUSTO, JUAN B. AV. 1658",Palermo,14,742,Renovado 2015
-34.6313083,-58.47143549999989,RIVADAVIA AV. 7518,Flores,7,323,Renovado 2015
-34.5877016999999,-58.4380603999999,"VEGA, NICETO, CNEL. AV. 5422",Palermo,14,950,Renovado 2015
