periodo,long,lat,denominacion_evento,fecha,horario,capacidad,disposicion_autorizante,predio,domicilio,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
201903,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,"1, 8, 10, 15, 22 y 29/3/2019","de 19,30 a 04,30 hrs",3200,DI-2019-2099-GCABA-DGHP,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201903,-58.429086,-34.569722,LUIS MIGUEL,1 y 2/3/2019,"de 18,00 a 01,00 hrs,",50000 por cada jornada,DI-2019-2026-GCABA-DGHP,Campo Argentino de Polo,Arévalo 3065,AREVALO,3065,Palermo,Comuna 14,1426,C1426DJG
201903,-58.471803,-34.592463,GROOVE OUTDOORS II,3 y 4/3/2019,"de 22,00 a 07,00 hrs.",2999 por cada jornada,DI-2019-2106-GCABA-DGHP,Exterior del Microestadio Malvinas Argentinas,Gutenberg 350,GUTENBERG,350,Paternal,Comuna 15,1427,C1427CQD
201903,-58.410465,-34.606624,FIESTA BOMBA DE CARNAVAL,2019-03-04 00:00:00,"de 23,59 a 06,00 hrs",2500,DI-2019-2028-GCABA-DGHP,Ciudad Cultural,Sarmiento 3131,SARMIENTO,3131,Balvanera,Comuna 3,1196,C1196AAG
201903,-58.429086,-34.569722,SUNSETSTRIP,2019-03-09 00:00:00,"de 15,00 a 03,00 hrs.",15000,DI-2019-2153-GCABA-DGHP,Campo Argentino de Polo,Arévalo 3065,AREVALO,3065,Palermo,Comuna 14,1426,C1426DJG
201903,,,JUNTOS COMENZAMOS,2019-03-04 00:00:00,"de 17,00 a 24,00 hrs.",2500,DI-2019-2199-GCABA-DGHP,Estacionamiento del Casino Flotante,Avda. Elvira Rawson de Dellepianne S/N,,,,,,
201903,-58.42043,-34.569591,DADDY YANKEE,2019-03-15 00:00:00,"de 17,30 a 01,00 hrs,",17000,DI-2019-2217-GCABA-DGHP,GEBA - NEWBERY,Marcelino Freyre 3831,"FREYRE, MARCELINO E., CNEL. AV.",3831,Palermo,Comuna 14,,
201903,-58.427507,-34.569215,LUXURY OUTLET ,16/3 al 21/4/2019,"de 12,00 a 21,00 hrs.",990 por jornada,DI-2019-2223-GCABA-DGHP,Hipódromo de Palermo,Avda. del Libertador 3901,DEL LIBERTADOR AV.,3901,Palermo,Comuna 14,1426,C1426BWA
201903,-58.429086,-34.569722,PAUL MC CARTNEY,2019-03-23 00:00:00,"de 16,00 a 01,00 hrs.",62500,DI-2019-2273-GCABA-DGHP,Campo Argentino de Polo,Arévalo 3065,AREVALO,3065,Palermo,Comuna 14,1426,C1426DJG
201903,-58.430197,-34.567381,MUJERES QUE CREAN,2019-03-23 00:00:00,"de 13,00 a 20,00 ",1500,DI-2019-2256-GCABA-DGHP,Tribuna Plaza,Avda. del Libertador 4401,DEL LIBERTADOR AV.,4401,Palermo,Comuna 14,1426,C1426BWF
