id_hecho,cantidad_victimas,fecha,anio,mes,dia,hora,franja_horaria,lugar_hecho,tipo_calle,comuna,latitud,longitud,participantes,victima,acusado
2016-0001,1,2016-01-01,2016,1,1,4:00:00,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-34.68757022,-58.47533969,MOTO-AUTO,MOTO,AUTO
2016-0002,1,2016-01-02,2016,1,2,1:15:00,1,AV GRAL PAZ  Y AV DE LOS CORRALES,AVENIDA,9,-34.66977709,-58.50877521,AUTO-PASAJEROS,AUTO,PASAJEROS
2016-0003,1,2016-01-03,2016,1,3,7:00:00,7,AV ENTRE RIOS 2034,AVENIDA,1,-34.63189362,-58.39040293,MOTO-AUTO,MOTO,AUTO
2016-0004,1,2016-01-10,2016,1,10,0:00:00,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,-34.68092974,-58.46503904,MOTO-SD,MOTO,SD
2016-0005,1,2016-01-21,2016,1,21,5:20:00,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,1,-34.6224663,-58.38718297,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0008,1,2016-01-24,2016,1,24,18:30:00,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-34.68475866,-58.44451316,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0009,1,2016-01-24,2016,1,24,19:10:00,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,-34.6082544,-58.50095869,MOTO-AUTO,MOTO,AUTO
2016-0010,1,2016-01-29,2016,1,29,15:20:00,15,AV GENERAL PAZ Y AV DE LOS CORRALES,AVENIDA,9,-34.66977709,-58.50877521,MOTO-AUTO,MOTO,AUTO
2016-0012,1,2016-02-08,2016,2,8,1:20:00,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,-34.61303893,-58.38048577,MOTO-CARGAS,MOTO,CARGAS
2016-0013,1,2016-02-10,2016,2,10,11:30:00,11,AV ENTRE RIOS 1366,AVENIDA,1,-34.62477387,-58.39114932,PEATON-AUTO,PEATON,AUTO
2016-0015,1,2016-02-14,2016,2,14,5:14:00,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,-34.59912758,-58.4376002,PEATON-AUTO,PEATON,AUTO
2016-0016,1,2016-02-14,2016,2,14,22:00:00,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,-34.64291993,-58.36882665,MOTO-AUTO,MOTO,AUTO
2016-0017,1,2016-02-15,2016,2,15,16:54:00,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,-34.65970435,-58.44989671,PEATON-MOTO,PEATON,MOTO
2016-0019,1,2016-02-17,2016,2,17,9:30:00,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,9,-34.65468721,-58.50990884,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0020,1,2016-02-17,2016,2,17,16:00:00,16,SUIPACHA 156,CALLE,1,-34.60653282,-58.37952223,PEATON-AUTO,PEATON,AUTO
2016-0021,1,2016-02-17,2016,2,17,23:35:00,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,-34.63063795,-58.45157703,AUTO-AUTO,AUTO,AUTO
2016-0022,1,2016-02-21,2016,2,21,6:00:00,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,-34.61079875,-58.38144696,MOTO-AUTO,MOTO,AUTO
2016-0025,1,2016-02-28,2016,2,28,4:50:00,4,AV GRAL PAZ Y AV 27 DE FEBRERO,AVENIDA,8,-34.70524971,-58.46244952,AUTO-AUTO,AUTO,AUTO
2016-0026,1,2016-02-28,2016,2,28,7:30:00,7,HOLMBERG Y VEDIA,CALLE,12,-34.54738649,-58.49216191,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2016-0027,1,2016-02-28,2016,2,28,9:35:00,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,7,-34.63852623,-58.44497874,AUTO-AUTO,AUTO,AUTO
2016-0028,1,2016-03-02,2016,3,2,10:00:00,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,1,-34.60028648,-58.38199706,PEATON-CARGAS,PEATON,CARGAS
2016-0029,1,2016-03-04,2016,3,4,17:30:00,17,AV CABILDO Y DEHEZA,AVENIDA,12,-34.54153077,-58.47378664,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0031,1,2016-03-08,2016,3,8,12:30:00,12,AV GRAL PAZ Y AV CNEL ROCA,AVENIDA,8,-34.69843756,-58.47064556,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0034,1,2016-03-12,2016,3,12,12:30:00,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,-34.65076549,-58.40623949,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0035,1,2016-03-13,2016,3,13,6:00:00,6,AV CORRIENTES Y AV CALLAO,AVENIDA,3,-34.60443527,-58.39228965,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0036,1,2016-03-14,2016,3,14,0:15:00,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,4,-34.63668504,-58.37813396,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0037,1,2016-03-19,2016,3,19,11:00:00,11,AV. EVA PERON Y QUIRNO,AVENIDA,7,-34.64358293,-58.46275892,MOTO-MOTO,MOTO,MOTO
2016-0038,1,2016-03-21,2016,3,21,8:06:00,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,AVENIDA,8,-34.67892743,-58.49683458,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0039,1,2016-03-23,2016,3,23,1:50:00,1,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,3,-34.6088396,-58.40603217,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0041,2,2016-03-29,2016,3,29,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,-34.63350444,-58.4607655,MOTO-CARGAS,MOTO,CARGAS
2016-0043,1,2016-03-30,2016,3,30,18:15:00,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,8,-34.67494416,-58.47832463,PEATON-CARGAS,PEATON,CARGAS
2016-0044,1,2016-03-31,2016,3,31,19:40:00,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,7,-34.63693953,-58.43213235,MULTIPLE,MOTO,MULTIPLE
2016-0045,1,2016-04-11,2016,4,11,10:25:00,10,AV GRAL PAZ Y AV DEL LIBERTADOR,AVENIDA,13,-34.53476874,-58.46743471,MOTO-SD,MOTO,SD
2016-0047,1,2016-04-15,2016,4,15,5:30:00,5,LIMA 1483,CALLE,1,-34.62571878,-58.38247061,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0048,1,2016-04-15,2016,4,15,17:40:00,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,15,-34.5917024,-58.44759966,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0049,1,2016-04-17,2016,4,17,0:00:00,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,4,-34.63657525428238,-58.37714647568196,SD-SD,SD,SD
2016-0050,1,2016-04-19,2016,4,19,9:50:00,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-34.68550712,-58.47305463,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0051,1,2016-04-20,2016,4,20,4:00:00,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,-34.65076549,-58.40623949,MOTO-CARGAS,MOTO,CARGAS
2016-0052,1,2016-04-20,2016,4,20,20:00:00,20,AUTOPISTA LUGONES PK 10000,AUTOPISTA,13,-34.548275,-58.438519,MOTO-SD,MOTO,SD
2016-0053,1,2016-04-22,2016,4,22,9:30:00,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,12,-34.57558053,-58.4842918,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0054,1,2016-04-23,2016,4,23,21:00:00,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,8,-34.68795245,-58.48695354,MOTO-MOTO,MOTO,MOTO
2016-0055,1,2016-04-25,2016,4,25,20:30:00,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,14,-34.57964781,-58.40021959,PEATON-CARGAS,PEATON,CARGAS
2016-0056,1,2016-04-26,2016,4,26,4:45:00,4,AV LUIS MARIA CAMPOS 30,AVENIDA,14,-34.57660058,-58.42957885,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0058,1,2016-05-04,2016,5,4,14:00:00,14,LIMA 1471,CALLE,1,-34.62556293,-58.38247542,PEATON-MOTO,PEATON,MOTO
2016-0059,1,2016-05-08,2016,5,8,16:30:00,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,1,-34.62728101,-58.38222219,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0064,1,2016-05-14,2016,5,14,18:11:00,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,10,-34.62953445,-58.49485242,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0065,1,2016-05-20,2016,5,20,14:40:00,14,AV GAONA Y ESPINOSA,AVENIDA,6,-34.61068024,-58.45227946,PEATON-AUTO,PEATON,AUTO
2016-0067,1,2016-05-21,2016,5,21,17:00:00,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,8,-34.6751276,-58.48455411,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0068,1,2016-05-22,2016,5,22,22:00:00,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,2,-34.58418569,-58.39056593,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0069,1,2016-05-23,2016,5,23,3:30:00,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,3,-34.62704273,-58.39118948,AUTO-CARGAS,AUTO,CARGAS
2016-0073,1,2016-06-11,2016,6,11,15:00:00,15,MAGARIÑOS CERVANTES 3900,CALLE,10,-34.62025108,-58.49021952,MOTO-CARGAS,MOTO,CARGAS
2016-0074,1,2016-06-12,2016,6,12,6:40:00,6,AV GRAL PAZ Y RODOLFO SCAPINO,AVENIDA,8,-34.67732118,-58.49896559,AUTO-AUTO,AUTO,AUTO
2016-0075,1,2016-06-12,2016,6,12,23:13:00,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,8,-34.66874679,-58.47461076,PEATON-AUTO,PEATON,AUTO
2016-0076,1,2016-06-13,2016,6,13,16:20:00,16,AV SAN MARTIN Y CAMARONES,AVENIDA,15,-34.60356211,-58.46210891,PEATON-PASAJEROS,PEATON,PASAJEROS
